Species,Group,S5_5.29,S6_5.29,S5_6.5,S4_5.29,S10_5.29,S7_5.29,S9_6.5,S7_6.5,S11_5.29,S2_5.29,S11_6.5,S4_6.5,S12_6.5,S10_6.5,S3_6.5,S8_5.29,S1_6.5,S6_6.5,S9_5.29,S13_5.29,S1_5.29,S12_5.29,S8_5.29,S8_6.5,S2_6.5,S3_5.29,S14_6.5,S14_5.29,S13_6.5
Ankistrodesmus,Selenastraceae,4,8,0,0,12,0,0,0,0,0,0,2,0,2,0,18,0,12,0,6,0,0,0,0,0,0,3,0,0
Asterionella,Fragilariaceae,4,0,0,0,0,0,0,0,8,8,0,0,0,1,3,2,0,0,0,0,3,3,0,0,0,4,0,2,0
Chlamydomonadaceae large,Chlamydomonadales,5,19,6,1,63,1,9,17,22,20,6,5,3,4,17,2,29,10,7,10,9,27,34,2,2,23,6,6,4
Chlamydomonadaceae small,Chlamydomonadales,48,42,100,2,305,20,120,56,172,136,160,71,54,123,227,142,43,304,167,114,23,213,74,60,70,76,115,242,132
Closterium,Closteriaceae,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,9,1,0,1,0,0,0,0,0,2,0
Cryptomonas,Cryptomonad,1,0,0,0,0,0,0,0,2,1,0,3,0,2,2,0,1,2,3,0,5,1,0,0,0,2,0,1,1
Cyano large sheathed,Lyngbyaceae,6,0,30,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyano small coccoid,Merismopediaceae,430,340,400,100,650,180,180,380,1090,750,750,530,320,320,790,700,390,1060,290,400,560,980,600,110,170,1640,140,370,480
Cyano small filament,Phormidiaceae,40,279,189,0,155,12,183,196,49,160,269,298,122,133,372,88,48,1611,69,47,13,95,63,49,117,99,71,36,41
Cyano small sheathed,Lyngbyaceae,120,0,30,0,0,0,0,0,0,122,20,0,110,0,40,0,0,0,0,0,0,0,20,0,0,0,0,0,0
Cyclotella,Centric,44,34,6,4,40,19,11,6,57,109,23,19,7,8,32,77,9,27,36,35,26,31,63,1,0,51,3,29,22
Cymbella,Cymbellales,7,8,24,0,14,7,15,16,3,6,4,1,11,14,9,7,0,18,16,7,0,10,5,8,2,8,13,4,14
Diatom small slender,Fragilariaceae,88,96,41,17,217,43,27,30,106,197,18,40,27,12,39,101,11,25,47,60,50,95,182,15,13,162,36,97,45
Diatom small stout,Bacillariaceae,135,143,67,14,239,99,43,67,342,393,120,171,103,141,237,345,68,229,288,186,109,549,293,26,37,330,31,245,137
Diatom tiny pennate,Achnanthaceae,5,7,5,0,11,4,2,1,0,14,7,8,4,16,16,8,3,10,3,4,1,3,4,2,0,18,1,10,14
Eucapsis,Merismopediaceae,0,1,0,0,0,0,0,0,0,8,32,0,0,20,26,0,0,24,44,0,0,0,0,0,0,0,0,0,0
Eunotia,Eunotiaceae,3,4,3,0,9,0,1,1,0,19,19,5,3,20,7,12,6,2,3,1,1,1,11,2,2,19,3,0,15
Fragilaria,Fragilariaceae,89,2,26,0,22,0,147,20,23,0,6,6,20,0,52,20,5,56,38,60,0,78,71,0,18,40,11,65,45
Gonium,Chlamydomonadales,0,0,0,0,0,0,8,0,0,0,21,22,0,0,10,0,16,0,0,0,0,0,0,9,0,0,0,0,0
Melosira,Centric,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,4,0,0,0,2,0,0,7,0,0,0,0
Micractinium,Micractiniaceae,3,0,2,0,0,1,0,0,0,0,0,7,2,8,0,1,0,0,0,3,0,0,3,0,0,0,4,0,4
Monoraphidium large,Selenastraceae,15,3,20,0,8,1,16,10,15,5,10,6,27,14,24,1,5,16,10,3,2,12,3,0,9,18,6,3,6
Monoraphidium small,Selenastraceae,142,109,383,5,383,167,215,329,741,44,508,34,570,278,110,320,22,251,284,159,15,378,332,80,30,84,140,171,137
Mougeotia,Zygnemataceae,1,0,0,0,1,0,0,0,0,5,0,2,0,0,5,0,7,5,0,0,0,0,0,0,5,0,0,0,0
Navicula,Naviculaceae,7,9,12,3,9,1,13,8,6,33,15,20,4,9,50,14,16,19,12,7,20,16,6,1,9,59,5,3,3
Nostocales,Nostocales,0,0,50,49,0,0,0,15,0,10,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,3,0,0
Oedogonium,Oedogoniales,0,21,10,0,2,0,0,4,0,0,0,0,6,16,5,0,0,9,0,0,0,0,3,0,0,0,0,0,0
Oocystaceae,Oocystaceae,1,8,0,0,0,1,3,5,14,18,15,9,0,3,9,7,10,8,1,21,9,21,1,3,2,21,0,6,0
Peranema,Euglenoid,0,0,1,0,1,0,7,5,2,2,3,3,6,5,8,2,3,1,1,0,0,1,1,0,1,0,3,0,4
Peridinium,Peridiniaceae,0,1,0,0,1,0,0,0,4,0,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
Pinnularia,Pinnulariaceae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Radiococcaceae,Radiococcaceae,20,81,11,9,44,17,12,3,24,146,12,14,6,2,15,17,8,43,35,17,22,61,15,0,4,35,0,33,5
Scenedesmus,Scenedesmaceae,22,20,14,2,24,4,27,34,22,16,20,16,4,10,14,31,0,65,16,16,4,12,28,8,4,14,0,14,10
Schroederia,Schroederiaceae,20,48,4,6,73,36,8,2,133,292,26,31,24,14,37,174,7,41,54,39,79,163,131,0,7,146,3,52,18
Small Green Circle,Chlorococcales,48,79,51,39,85,52,71,67,162,215,113,128,59,69,139,89,78,134,125,63,109,152,95,26,29,196,32,71,55
Synedra large,Fragilariaceae,13,18,6,3,17,4,4,6,26,47,4,23,8,2,33,12,12,15,21,5,15,21,14,0,10,54,1,8,10
Tabellaria,Tabellariaceae,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Trochiscia,Treubarinia,0,36,0,1,11,21,3,14,57,3,28,3,6,2,4,147,2,11,11,12,0,28,121,24,0,6,1,5,2
Dictyosphaerium,Chlorellaceae,0,0,0,0,56,0,58,0,26,66,0,0,0,0,0,0,18,36,34,54,24,0,0,0,32,0,11,88,69
Teilingia,Desmidiaceae,0,0,0,0,19,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinobryon,Chrysophyte,0,0,0,0,1,0,1,0,0,9,0,0,0,0,37,0,6,0,1,1,1,0,6,0,1,8,0,2,0
Staurastrum ,Desmidiaceae,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sarcinoid green,Chlorococcales,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
Surirella,Surirellaceae,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0
Cosmarium,Desmidiaceae,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gomphonema,Cymbellales,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
Amphora,Catenulaceae,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zygnema,Zygnemataceae,0,0,0,0,0,0,0,0,0,42,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pachycladella,Oocystaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Golenkinia,Treubarinia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trachelomonas,Euglenoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirchneriella,Selenastraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,1,0,0,0
Chain-forming greens,Chlorococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Bulbochaete,Oedogoniales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chaetophorales,Chaetophorales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,8,0,0,0,0,0
Phacotus,Chlamydomonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Microspora/Ulothrix,Microsporaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0
Synura,Chrysophyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Monomorphina,Euglenoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pandorina,Chlamydomonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
